sentence,sentiment
@djddueces jojo at 12:30 and not midnight lets rage WRYYYYYY,anger
I'll happily be rude to people who personally insult me unprovoked* they deserve it 👍 Just as good people deserve respect,anger
That AK47 leave your spine with a frown,anger
come on let's make em hate 😘make em pout they face 👿😩.,anger
Recommended reading: Prisoners of Hate by Aaron Beck #anger,anger
@Alanafergusson snap meee,anger
@KimLy resent,anger
Forever angry that gh ruined Molly and morgan's bond/friendship ,anger
#disgracefulesin I resent all men in some way; for some or no reason at all. #esinscountdown,anger
@TillTheEndMMVI I accidetly dumped boiling water my myself 😫,anger
@ggreenwald Smh* remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. ,anger
As usual disappointing #offense by @HoustonTexans ...#Texans,anger
@mdivincenzo9 he's stupid* I hate him lol ,anger
@PuseLepuru it's the irritation of not having found the corpse,anger
never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy :) :*,anger
@girlsreallyrule Both Trump + King are relentless self-promoters who don't give a rip about anyone else. A perfect match for both Donalds.,anger
@coltonflurry @StrangeFacesLA I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO #bitter,anger
whenever I put 'I wanna be adored' on my brother alwayss sings 'I wanna be a dog' instead just to irritate me,anger
@johnaugust @clmazin I was so looking forward to @ABCDesignated. Then it opened with a #stuartspecial. I literally yelled at my tv. #umbrage,anger
I don't get what point is made when reporting on Charlotte looting @CNNAshleigh. Why not explore what looting businesses symbolizes #outrage,anger
@ArcadianLuthier -- taking out his feelings on Kei unfairly. His lips form a frown as he tries to walk away.,anger
@laura221b I've left it for my dad to deal with 😂 My work is done as soon as it's felt the wrath of my slipper 😷,anger
Leave it on there* rule*nimber 1 of carpet cleaning!!!  #worsethananatomicbomb #accidentlyspillbeeronthecarpet,anger
@m_warner21 Yikes. The wrath of Maddie...,anger
@Nigerianscamsss @TrillSmith you think I came back to twitter and not ruffle a few bushes? Tuh.,anger
.@LEAFYSZERKER @markiplier is that an insult? Sounds like a job well done. it's red so it's done the job it was suppose to do #justsaying,anger
#Hudcomedy #AdamRowe  #insult Slutfaceshlongnugget,anger
I need some to help with my anger,anger
@CBSBigBrother never bring back Meech and Bridgette. Crying because someone looks at you? Ugh* and Bridgette. #bitter,anger
Hey folks sorry if anything offensive got posted on here yesterday my account got hacked. All fixed now though. I hope :-/  #annoyed,anger
Now it's time to remove CB from the team somehow. Screw it. Rip the Band-Aid off. It'll sting for a bit but everyone will get over it.,anger
Candice's pout gets more preposterous by the week. This week it's gone a bit Jack Nicholson's Joker. #GBBO,anger
@keithboykin unfortunately it won't end there... followers of whichever candidate isn't elected will throw tantrums. No winning this elec,anger
@cc_yandian @HillaryClinton her team must draw from a hat for daily personality #drugged  #yeller #quiet #screamer #😂😂,anger
Candice's standing pout face aggravates me every week,anger
Think I really broke young bull hurt 😂😂😭😭 u can tell by how bitter and mad he is 😊😊😩😩,anger
@OstinOng YUUUHH 🙄😭 plus clin ep and prevmed ugghhh hahaha #bitter,anger
@HebertofNH any time a man who got paid to throw temper tantrums speaks up* you gotta listen.,anger
As if he heard my thought on the ether* my #ex has just posted #facebook pic of himself snuggling up with said #cats... now Im just #angry,anger
don't provoke me after letting me down !,anger
could never be a angry drunk lol yall weirdos just enjoy your time,anger
Yet we still have deaths* road rage* &amp; violations on the road* despite a widely accepted concept of 'personal accountability' while driving,anger
@SiobhanSynnot  Oh* good God. Quentin Letts is doing one of his 'comedy' turns. #angry @bbcthisweek @afneil #BBCTW,anger
@Trump_Videos she looks completely #rabid @realDonaldTrump,anger
Inner conflict happens when we are at odds with ourselves. Honor your values and priorities.  #innerconflict #conflict #values,anger
#EpiPen: when public outrage occurs* expand #PAP Patient Assistance Progrm* coupons*rebates .@GOPoversight @OversightDems on #Mylan #Epipen,anger
Imagine the twitter fume if Corbyn loses the election and then Smith leads Labour to a worse result than suggested under Corbyn.. Imagine??,anger
@BosNaud so scared to ruffle feathers* he resorted to writing in cryptic code. #UncleCamsCabin,anger
Didn't think Cadres not Getting SRC deployment would make some Cadres so bitter* Ku tough Macom.,anger
I miss doing nothing someone I care about and attacking their face with kisses. #foreveralone #bitter 😩,anger
That grudge you're holding keeps making an appearance because #God wants you to deal with it.,anger
@arppaul @chetanlfc @mannkakhiladi @dey_spandan @umeroffcial  Comparing Akshay Sir with this zandu balm is an insult to Akshay Sir.,anger
🔥Anger is the acid that can do more harm to the vessel in which it is stored than to anything on which it is poured.🔥 #anger \n\n~Mark Twain,anger
If I spend more than £10 in shimmy on £1 drinks I'll be raging* but we all know it's gonna happen,anger
I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage,anger
@iamsrk what's up w the gender bias? #indignant This fancypants saddler's daughter will opt for the leather jacket* thank you very much.,anger
When your sister is 19 and throws legitimate temper tantrums just to get attention..,anger
@luxbet Did you even give out any pizzas ? Serious fail #hungry  #hangry,anger
This provocation sets off a curiosity. An entity is feeding fuel to the fire. speaking quatrains. Hmmm America needs to be vigilant now,anger
@PatVPeters @FreeBeacon Quite the response of retaliation from Weiner in getting revenge on Huma &amp; Hillary 'clam digging'.\n#AllScumbags,anger
I guess #bradangelina &gt; #anger &gt; #blacklivesmatter,anger
Now that I have my ex's number now its time to prank him. #revenge #prank #whatprankIshoulddo seriously what prank I should I do,anger
Do not despise the Lord ’s #discipline* do not #resent his rebuke* because the #Lord disciplines those he loves... #Proverbs 3:11-12,anger
Guy across from me in a really ugly suit cannot stop expressing his displeasure,anger
Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice #anger #sadness,anger
I think I must scare my coworkers when I'm eating like a rabid animal on my breaks #srry,anger
@JuliaHB1 Bloody right #fume,anger
@RoyEnglish roy as fiery,anger
Why a puerto Rican with Taino hair and a black nose gotta ruffle your targeted feathers?,anger
@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis ,anger
Listening to Joey really helps me and my anger.,anger
@kerrybowen_ you have anger issues!,anger
i can't believe they're all messing up my favourite of all bakes i feel personally offended,anger
I think they may be #offended,anger
@ashleighjessica @zacflint1 I'd give that pout the firm D,anger
I am using twitter as a coping mechanism for raging out at this kid oops?,anger
@AgentTinsley I believe that's what you call the fury of the righteous.,anger
Ok but I just got called a 'White Devil' on the train and I didnt know whether to laugh or be offended,anger
#india will take #revenge  by making 3 new movies like #phantom and they will be like #ghus_k_maren_ge this is how indian army take revenge,anger
@cxmbeferre so you WOULDNT date me????? #offended,anger
Drop Snapchat names #bored #snap #swap #pics,anger
Damn our offense is a mix bag of unpredictable lethal weapons I'm worried for Defense Coordinators 😁 #Chargers #Boltup #Recharged,anger
the bee sting still suck i feel sick,anger
I just love it when people make plans for me without actually including me in this process ,anger
@healeyraine I'm offended* I actually am,anger
pressure does burst pipes 😭,anger
@voguemagazine* did you not learn from @FreePeople 's viral insult to ballet? Stop trying to wrongfully stick models into pointe shoes 🙄,anger
@realDonaldTrump: No sense in taking out your wrath on innocent people because you think police shot an innocent man. #MakeAmericaSafeAgain,anger
@GriffinBowie23 @AliMcClimond sorry to #offend u griffin!!,anger
@JohnKerry can be as indignant as he wants but the world knows Obama will do nothing and Putin will just do what he wants #Aleppo #Syria,anger
@sarah_urbina why do you even beef Sara you let the anger get the best of you* you and Sagin been friends for how long?,anger
@lydss_xx @tharealversace @fatbellybella fuckin luv incense* this is me as fuck 😂,anger
I screened my own snap what kind of narcissistic ass would smh,anger
I don't even #feel #anger anymore can't explain it .. #Tulsa #Charlotte #Trayvon #SandraBland #Philando #Ferguson #BatonRouge #MichaelBrown,anger
@Freepenalties @TMortimerFtbl Doll is a vile creature on the touchline. Every game he has tantrums &amp; shouts at the ref. Would love to see,anger
@jwolfie_ why you gotta use the dark skin emoji ,anger
jamming out to fury in math class wanting to die hbu,anger
So I wished my sis 12 midnight but received no reply from her. My 2nd sis JUST wished her* got a reply. You know who's the fav #offended,anger
@evanareteos :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! #revenge,anger
can't believe Achilles killed me! ,anger
@a_mxe7 hah don't speak to me or my cousin like that* mind a had the displeasure of seeing u bare faced on eh train* no a pretty sight mate,anger
Indignation: [whispers to date during that terrific Lerman/Letts centerpiece scene] That's his overwhelming sense of indignation.,anger
@CBSBigBrother never bring back Meech and Bridgette. Crying because someone looks at you? Ugh* and Bridgette. ,anger
@trendykittykat Some people would rather hang on to their indignant anger. *weary sigh*,anger
@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks ,anger
Thatmoment you're watching #worstcelebritycooks and your bubble is burst by finding out KyleXY is gay and married😭 #nochance #KindaDontMind😉,anger
Women don't like girls because we resent them for looking so great/we wish we still looked like that  #washed,anger
Hey folks sorry if anything offensive got posted on here yesterday my account got hacked. All fixed now though. I hope :-/ #angry #annoyed,anger
@IndigoHawthorne Then u understand that rage is often not pretty* or controlled or rational - it is often visceral-not always logical.,anger
My leg feels like it's gonna burst* yet I'm still expected to go into work:):),anger
The best revenge is to move on* get over it* and continue to succeed. Never give someone the satisfaction of watching you suffer.,anger
Get to work and there's a fire drill. #fire  #outthere #inthedark,anger
@LaraTheIrish &lt; feel everything. She would remember everything. Evanora hoped this would serve to fuel the creatures anger and run rabid &gt;,anger
@Kim_is__bored exactly what I have been saying on fb.. #bitter,anger
Get to work and there's a fire drill. #fire #burning #outthere #inthedark,anger
@simon_penn_r @AntisocialJW2 has turned into a rather fiery GG radical),anger
significantly* with a #bitter smile* 'let me,anger
@MetPoliceFC is it true none of your players are cops? Do they drink chilled bitter? Are your players Walter Mitty types? @KeviboyAllen,anger
Brendan Rodgers looks fuming 😭,anger
@ChronAVT ummm* the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an ,anger
My baskets are better when I'm in a bad mood someone irritate me before practice please,anger
Be chill af if you want to offend someone.,anger
@DRUDGE_REPORT @FoxNews good thing the FBI didn't offend them!,anger
you know cyran still hasn't done makeup based on jeongguk's tiddy like i suggested and i'm #offended,anger
@danrafaelespn no Tyson fury beat the man who been at top for years Danny Garcia should be above Bradley pacquaio frampton,anger
So I wished my sis 12 midnight but received no reply from her. My 2nd sis JUST wished her* got a reply. You know who's the fav ,anger
@m_t_f_72 I'm not surprised* I would be fuming! 😤,anger
oh these old things on my face? nah they're not tears from school related anger and frustration nope never,anger
British humour should offend and challenge mainstream views. Hat off to Clarkeson. The ultra left should go and kneel before Allah!!,anger
I need all your attention! If I don't I'll pout..,anger
@AudreyKare i'm like half expecting some rabid troll to come into my mentions accusing me of being a csa apologist or something lmao,anger
Because it was a perfect illusion* but at least now I know what it was.  #ladygaga #iscalming#mysoul,anger
Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,anger
@len_snart gives a frustrated growl* before stepping closer and putting his gun through the barrier. No alarms and nothing happened. He-,anger
@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone,anger
When you forget to mention you were bought dreamboys tickets 🙄😂 #raging,anger
Now that @Jasmine_Wrn has snapchat back it's a constant battle to see who can get the ugliest snap of one another 😂🙃 #snap survival,anger
Nick said he's territorial and he'll growl if someone gets too close to me #hesananimal,anger
I don't mean to offend anyone* but 93.7 literally blames everything on white people. In some cases it's true* but a lot of times* it's not,anger
He totally knew about it'. Trump finally gets revenge for his son-in-law's prosecution/imprisonment and throws Christie under the bus.,anger
Inner conflict happens when we are at odds with ourselves. Honor your values and priorities. #anger #innerconflict #conflict #values,anger
Are belittling kitty straight a service? provoke lift aboard!: Wycelv,anger
@EAMaddenNFL @EASPORTS I played a game where John Elway was sacked 3x and fumbled all 3x. Is this the same John elway I know of??? #madden,anger
And she got all angry telling me 'but what would be doing a 40 year old guy looking for a girl like you' and I felt ,anger
@BearGrylls for your next series will u do a celebrity firefighting show and just chuck them all in a burning building and do the voiceover?,anger
Like I can't do 12 hours worth of standing or calorie burning in 3 hours 😭😭😭😭 #1stworldprobs4vs,anger
Before revenge you feel good after revenge you feel worse 💯 @HillaryClinton,anger
I wonder what would happen if I were to tell some people the truth #savage #uhoh ,anger
Take public opinion on revenge with Pakistan if govt is unable to decide. @aajtak @TimesNow @narendramodi,anger
@cxmbeferre so you WOULDNT date me????? ,anger
the teams that face Barca and Bayern after a defeat are the ones who face the wrath,anger
I just don't understand why everyone is so #angry we all just want to live and thrive don't we?,anger
@kitanoye Hell is hot and boiling* isi ewu,anger
#welfarereform should not be a 'model' for #snap.,anger
@HillaryClinton Yeah U gotta make them HEEL. I know U need their votes so U have to wait. But when U LOSE-they're really in for your wrath !,anger
Well @AprilDRyan Trump's rabid base needs 2 hear this &amp; U can always find an overseer like King to say it.\n@JoyAnnReid @SMShow @frangeladuo,anger
Skipping meals is the national way of showing #disappointment and #anger. #wiz,anger
streets of rage 2 was hard to find for a while and then Itunes stepped in and the guys doing the vinyl \nmade it so simple,anger
@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone ,anger
@UltimateBoxer My heart because you left me for so long again\n\n*slight pout but it turned to a smile*\n\nheheh just kidding* no I'm fine-,anger
why are people so angry toward veggie burgers at in n out wtf,anger
I mean I'm not done watching the pilot* but it's nice to see a group of actors perform without story lines dripping relentless nihilism.,anger
Checked-in for my flight to Toronto. Took seat 3D just to infuriate @perpetualgeek.,anger
Egyptian officials expressed frustration and outrage over the Obama/Hillary administration’s support of the Muslim Brotherhood,anger
@PrincessCasGirl @DaddyEllis__ tiff you better hurry cause 👀,anger
@fleetstreetfox It's buzzing pathetically for sympathy if you let it out it will twirl it's moustache* chuckle and sting you #Psychowasp,anger
matt and i just did a psychological study on provocation in abusive relationships.,anger
@HuffPostUK  NO greater wrath than a woman scorned.,anger
@kencurtin they might get Donal óg sure! They won't have him in cork as he's to fiery for dopey frank &amp; his cult,anger
@LouisFil just curious as to what you mean. No rush* no animosity* no disdain.,anger
@thatomahapa the best revenge is to get yourself a good woman and move on. Leave her and her hairline to figure themselves out alone,anger
@tamriiel I was talking about further in the expansion* with more gear - fury always does well towards the end,anger
Who knew softballs could sting so bad? Jimmy Fallon has been under a lot of heat for his &amp;ldquo;softball&amp;rdquo; Donald Trump interview,anger
@OstinOng YUUUHH 🙄😭 plus clin ep and prevmed ugghhh hahaha ,anger
@StrongestBeing ←would furrow and her face would redden as she protests; it would seem that being seen as unattractive in Wukong's eyes was→,anger
Finding out my two best Fwendz are going to rage with me at @lifeisbeautiful makes this last week of no sleep extra worth it,anger
Paul forever. Paul should have won! Paul played such a better game! #BB18 #angry,anger
@marthalyssa yep. LOL ,anger
@AuntieSupreme @KimberlyCarole y'all found me to express yalls displeasure. 😉,anger
@1VoiceMatters @MichaelTPremo just got wind of #MenForChoice and it doesn't infuriate me. Just makes me sad for the generation.,anger
Since the 'update' my @iPhone loses power nearly 40% faster. ,anger
The sun literally burning my skin,anger
That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. ,anger
@DL_Hart @DonnieDollars @AaronBiggsPro @WWENoWayJose @cwfmidatlantic How did that chop feel? You still feel the sting of it? Looks brutal!,anger
Chris ate all my mac n cheese so imma eat all his taffy ,anger
@thomeagle Just to help maintain and boost our status as a world class centre for education* culture and tolerance. #outrage,anger
Chris ate all my mac n cheese so imma eat all his taffy #revenge,anger
It's weird because I was discussing sex resentment and confusion in the thing I was writing last night.,anger
As if he heard my thought on the ether* my #ex has just posted #facebook pic of himself snuggling up with said #cats... now Im just ,anger
Paul forever. Paul should have won! Paul played such a better game! #BB18 ,anger
@BigBrother__USA she is just jealous and a cry baby!  #gladsheisgone #crybaby,anger
@clarechampion @Westclarepage and peter your radio piece on off the ball was pure class * no digs * no revenge * a total balanced pro ! 👏👏👏,anger
@coltonflurry @StrangeFacesLA I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO ,anger
The best #revenge is to move on* get over it* and continue to #succeed. Never give someone the #satisfaction of watching you #suffer....!!!,anger
@iStoleFreeHugs @stephlaris lol I'm happy with my negative* realistic ass self. Sorry to offend you,anger
75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.,anger
Can't believe I've only got 2 days off left 🙄 #backtoreality ,anger
@vladfucker69 i look rabid,anger
@thedrepabon BLM was outraged by the shooting in NC the other day* turns out the guy pointed gun at police. Wait for facts before outrage,anger
I get embarrassed at the slightest things and then I'll fret about it all day I hate it,anger
@Sophiejulia @CalebAtChipotle @calebpressleyxo relentless pipe thirst #sheltered,anger
I don't get what point is made when reporting on Charlotte looting @CNNAshleigh. Why not explore what looting businesses symbolizes ,anger
#Taurus will react angrily when she can't take being provoked any longer.,anger
@bismahmalik .....Seems like a fight ready to rage on.....,anger
@WestonKoury so leafy can roast the Pokemon go kid but not you what an outrage that just means that he is more relevant than y-I mean kisses,anger
I think Paul is what's bitter* not the pastry,anger
@PatriotsInform I don't see why you think we'll have a dumbed down simplified offense with Brissett. He comes from a very complicated system,anger
After becoming boiling hot* after slowly melting* my heart is frozen.,anger
@xandraaa5 @amayaallyn6 shut up hashtags are cool ,anger
@hoytschile fury road!!,anger
Realizing that holding a grudge for long is immaturity is wisdom,anger
@BonesARP 'That is a disappointment.'\n\nHe fakes a pout* then starts to chuckle.,anger
Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice  #sadness,anger
@RegalisAzura \ngrasp the cobalt woman's own; which they did fairly easily. Fair cheeks would ignite into a fiery hue. Warm.. was the only,anger
@billburr DirectTV is the best. Apparently you just sit in silent anger. 'Don't press or say anything',anger
I believe women are more fiery because once a month they go through struggle and struggle is what develops a strong character.,anger
@kingcharles9th i Lowkey forgot you had twitter and if you don't follow me back im gonna be ,anger
im also definitely still bitter about the yellow ranger not being asian* but asian representation in hollywood is essentially a shrug anyway,anger
Did we miss the fact that #BurkeRamsey swung &amp;hit his sister #JonBenet in the face with a golf club previously out of a fit of ?,anger
@talkRobyn oh dear I have to watch this the woman with the pout did well,anger
LIFE TIP 101. I know unresolved #anger is likely to cause problems in several areas of my life. I must recognize it &amp; properly deal with it.,anger
@Sargon_of_Akkad It'll be like burning rap albums; they'll have to buy it first* but gosh darn it* they have to get rid of it.,anger
@Docjp they unleashing God's wrath just as Cain did,anger
@SlaveGuinevere its more of a little prick than a sting .......... but you have to come to Tennessee to get it1,anger
@DeltaDomain @SawDraze @qurions dis dat nigga from fume right?,anger
Projection is perception. See it in someone else? You also at some level have that within you. #anger #worry,anger
@SageHillfarms @HintonAlisa @hb_heather Hey* Jayme! Were your👂👂 burning cuz I was talking about you?😁 Are you going tomorrow?,anger
@savageimiike one of my favorite songs brother* real talk. #rage,anger
Controlling #anger is a sign of those #righteous people promised #Paradise in the #Quran in Surah Al Imran verses 133-134 #reward #goodDeed,anger
@alyssasimpson21 I gave up KENDRICK LAMAR to eat barbecue with him. ,anger
the 1975 are playing antichrist why won't @sundarakarma play hustle it's an outrage,anger
@TDsNation I blame how broken madden is this year,anger
@MMASOCCERFAN @outmagazine No offense but the only way this makes sense is if you work for the magazine. Otherwise*who are you apologizing 4,anger
Nahhhhhh @konanplaydirty snap story has got me bussing up 😂😂😂😂😂😂😂😂😂😂😂😂😂😂,anger
@ticcikasie1 With a frown* she let's out a distraught 'Gardevoir' saying that she wishes she had a trainer,anger
@skinkev let's rage,anger
If i could just get my line to block! #germantownbroncos #lilleague #popwarner #Broncos #usafootball  #lineman,anger
@BIGGKATZ BUT arms (focused rage) is overpowered* it will be getting nerfed. It'll still be stronger than fury though,anger
@KevinI @GGGBoxing @SpecialKBrook pretty average* klitschko fury did about 600k and Joshua white did about 450k,anger
@WBIRSports They're still using his offense* up the middle 3X &amp; punt.,anger
@jessebwatters lol. Love it when you aggravate Juan. Keep up the good work. Lol,anger
@judahandthelion TONIGHT. Legit can't wait to rage 🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻🔥,anger
Seeing #RIPShawtyLo got me thinking bout other rappers then I thought about @LilTunechi dying* and burst into tears... Smh,anger
@donna_bellav @SoniaRayS @gig_aholic He looks especially lovely. Sadly* I do not *removes potentially indignant Mr D from convo*,anger
my momma irritate me asking all these questions like gone 😤,anger
The bubble has officially burst. 98 boys to beat for the trophy and all the glory #wptmain #bye,anger
@Daniel_Sankey @hayleyp79 Haha.... Actually* after the Doggies I'm barracking for Anyone But GWS! ,anger
@feistyarcher -trouble*' he feigned anger and gave her a look that told her to behave. He knew she wouldn't though* and that was one of -,anger
@JBCrewdotcom how his own fans insult him,anger
I offend u,anger
np rum rage,anger
Some bloke on the train who's obviously trying to provoke West Ham fans by loudly slagging off the stadium to his mate on the phone,anger
#welfarereform should not be a 'model' for .,anger
@TheDTSB @trubble1127 @nflnetwork I agree but our offense was ass after the second half td score on the first drive,anger
@RealPaulWalker R.I.P Paul* furious 8 can't wait,anger
Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally* long before Trump got into politics.,anger
If you let a general tweet offend you* you definitely shouldn't be on twitter.,anger
As your own lives in order to complete our amazing life journey successfully* it is there. #bitter,anger
@marthalyssa yep. LOL #bitter,anger
straight people are canoodling on the quad and I'm ,anger
remember when that guy got #angry that i kept saying gary sanchez was the best baseball player in the world... lmao,anger
What's a Kali's kitten? [She asked* a frown curling on her fair skinned forehead as he showed her the scar] A cat did - (@ScarredTiger),anger
@everycolorbot more like every color looks the same #triggered #colorblind ,anger
My husband found out there are other rabid hockey fans like me as we waited in line 4 of the 6 window stickers were for SJ NHL/AHL hockey.,anger
@ParrishWalton @kjmgolf Also* our best assets on offense are our RB's and our WR's (longterm). Have to have an offense to utilize both.,anger
@UnknownAndYoung — a low growl escaping him. Oh oh.,anger
@RiotzXVl papercuts sting and stub ur toe last for like 10 secs,anger
I've been wanting salty fries from McDonald's since yesterday and I'm burning my fingers eating them bc these shits 🔥🔥🔥,anger
Love how Megan is raging about this Kendall Jenner photo and I'm sat here like 🤔🙃,anger
@josephperson Cam is still rattled from the backlash he received when he made the black QB comment and suffered the wrath of White America.,anger
Because you offended by the lies of Alexandria Goddard doesn't mean that I'm Deric's friend or anything else. Purely a fishin expedition.,anger
Y'all really insult coz of soccer???  Lmao* wow!!!!!!,anger
What terrible thing to see and have no vision-\n\nHelen Keller-\n\n-Begin with the end in mind-\n\nStephen Covey-\n\n #whereareugoing ,anger
@StarFlowerz17 @DreamerAbe #bitter. Nicole and Cory is why she was evicted.,anger
@rumanaa_r @DaiIyRoasts what did I do to offend you? 🙄😭😂,anger
What terrible thing to see and have no vision-\n\nHelen Keller-\n\n-Begin with the end in mind-\n\nStephen Covey-\n\n#whereareugoing #relentless,anger
The bitter the battle* the sweeter the victory...,anger
i resent biting my tongue.,anger
You can't fight the elephants until you have wrestled the pigs. #quoteoftheday ,anger
People often grudge others what they cannot enjoy themselves.,anger
@SarahMi40605180 @kaileighhxo sorry to burst the bubble but there was never any illusion 🙈😂😂,anger
@jaybusbee Well* not Archie. No offense but he's kinda old.,anger
Scored madden 13 on vita for $20AU today.  Bloke didn't know what he had. I'd have happily paid $70 🤑 my only ever bargain! #bargain #vit,anger
Now they fret about scuffs. I’ll take scuffs (which…come in) for a phone I can use wet handed or drop in a toilet any day.,anger
If ydu yell 'fire' in a crowded theater you will burst into flames. It's a cool trick* bu: only once.,anger
Congress acting indignant over the  #EpiPen pricing is quite disingenuous since they craft the laws that allow such gouging!!,anger
@ToddDoug @Ziggomattic Yeah* this actually supports why I tweeted in this thread initially. Because of the article's righteous indignation.,anger
@WWE is the live event Brock vs Orton 2 this Saturday on the WWE Network? If not it needs to be! :) #wwe @RandyOrton @HeymanHustle #revenge,anger
@edquinn63 how can you even forget to pick ur fave child up from school ,anger
Grateful for all the hungry people in my life! Hungry to learn* change* grow* help* etc - not sure anybody has it better! ,anger
@St8edge4life88 eh well i can do the sting vs cactus loser leaves wcw match at bash at the beach lol,anger
@warFarePower dip it in boiling water,anger
I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming ,anger
When anger rises* think of the consequences. #quote #wisdom #anger,anger
New madden kicking 🚮,anger
I was going to say that Rooney is a shadow of his former self but I don't want to offend any shadows. #NTFCvMUFC,anger
When you burst out crying alone and u realize that no one truly knows how unhappy you really are because you don't want anyone to know,anger
schneiderlin taking his revenge for the 2 fouls,anger
@JustinRow10 dude the new madden 17? Haha,anger
you are an angry glass of vodka,anger
one month til someone's bday and i think it's time to flaunt that I got them something pretty awesome #revenge,anger
be strong* independant and practical. stop living in your world of fantasy. snap out of it. the faster u get used to the reality* the better,anger
Time wounds all heels.\n\n #DrunkJesus #rt #lol #wisdom #quote #comedy #self #Revenge  #hate #time #funny #politics #Trump #POTUS2016,anger
@TehShockwave turn that grumpy frown upside-down\n\nYou did something next to impossible today,anger
you know cyran still hasn't done makeup based on jeongguk's tiddy like i suggested and i'm ,anger
The most important thing to #bestrong is to hold your #anger #thoughts,anger
Gotta wonder why Caller Max listens to the show in the first place if you so incense him @MSignorile,anger
I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,anger
doing some testing with my current earth burst team,anger
If my luck the rest of Fall goes anything like today* I think I'm going to like this season. #bestdayever #magic #work ,anger
also other ppl who i love a whole damn lot; erica* joanna* tiff* sirli* harley* anja* (the rest of the gc bc i ran out of chara!),anger
@sippycoups if it hurts too much to eat* i read somewhere that marshmallows are good bc they are soft and don't irritate,anger
“Do not fret if you are not cool! Humans who follow me* become instantly cool!” #Bot,anger
@rabpeel snap* seems to be a problem here,anger
#burning the last of @Yan,anger
Can't wait to be in my Ninja turtle costume raging at OSU again this Halloween 😈,anger
@GreyTheTick But even if I jumped through that hoop* it just takes one irate netizen to decide me playing by 'the rules' isn't enough.,anger
The best revenge is massive success. –Frank Sinatra,anger
Despite my sharing O'Neill's article* what saddens me about the Gazza case is there seems to be more fury about the sentence than the remark,anger
I need to stop second guess myself and just go with the first thought and go with it. #relentless,anger
We worship at Your feet\nWhere wrath and mercy meet\nAnd a guilty world is washed\nBy love's pure stream\n—Graham Kendrick,anger
Dear future big brother players* just chase dick all season and you too can win 500*00 dollars and an Sti #bb18 ,anger
“He who is slow to anger is better than the mighty* And he who rules his spirit than he who takes a city.”\nP16:32 #bibleverse #pride #anger,anger
Holding a grudge on someone will stop your blessings from God *learn to forgive &amp; forget 🙏🏾,anger
Why does Candice constantly pout #GBBO 💄😒,anger
@pugglelover3691 some of those haters are just taught hate and not shown love. There is a good quote that goes to your comment tiff* treat,anger
Nor hell a fury like a woman scorned -- William Congreve,anger
That is at least the 3rd time the balls been burst in our games,anger
@stoozyboy1 @chris_sutton73 😂😂 Oh the zombie rage 😂,anger
Prayers &amp; Protection to our brothers and sisters fighting in #Charlotte #rage #against #machines,anger
@wcsportscamp I lol'ed.  Privileged exasperation should be bottled and sold.,anger
Finally made my #fury #warrior guide. Let me know your thoughts,anger
@evanareteos :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! ,anger
@JustPyroNow are you gonna do any kind of community raids when wrath of the machine drops?,anger
Nurse practitioner: 'you look pretty bad. No offense of course.'  \n\nThank you* that really added that spark of positivity I needed today.,anger
@dlrwills turn that frown upside down buddy 🙃.,anger
@SonOfTheDovah *She could sense the anger stirring within him and took his hand in hers.* As long as we stay together* we'll both be safe.--,anger
and apparently he's supposed to have a Scottish accent??? I'm ,anger
@PerfectQuartz She's jogging a bit to stay beside her* puffing her cheeks with a huff each time. 'Oh-- jeez Jasper* why don't you —,anger
@RichardHBell Yes* I think he held a grudge ...,anger
 I can't guess if you holding a grudge against the best',anger
@JoeGoodmanJr. A solution. But the assumptions by media in articles and every other venue causes animosity to the conversation.,anger
@LisaAsquithtobe @craig8710 @WayneHaselden @june65wigan everyone is against wigan because we are the biggest club ,anger
